time,open,high,low,close,volume
1734571800,21281.75,21286.75,21244.25,21279.75,592
1734573600,21278.5,21283.5,21254.0,21274.75,579
1734575400,21272.0,21313.25,21267.5,21313.0,478
1734577200,21310.0,21321.5,21261.25,21263.25,706
1734579000,21264.25,21305.0,21264.25,21289.75,650
1734580800,21290.0,21336.0,21287.5,21336.0,537
1734582600,21333.25,21333.25,21284.25,21291.0,408
1734584400,21291.75,21309.75,21288.75,21289.5,329
1734586200,21289.5,21308.0,21272.25,21300.25,222
1734588000,21296.5,21387.75,21296.5,21381.5,672
1734589800,21381.75,21399.75,21365.0,21397.5,599
1734591600,21396.75,21405.0,21374.5,21384.0,535
1734593400,21391.0,21398.0,21343.25,21350.75,884
1734595200,21346.75,21406.5,21328.25,21400.75,1712
1734597000,21401.75,21424.25,21280.5,21300.75,11860
1734598800,21310.75,21363.0,21225.75,21230.0,5419
1734600600,21228.0,21314.0,21196.75,21282.5,6004
1734602400,21280.5,21348.0,21193.75,21337.5,2625
1734604200,21331.75,21360.25,21275.75,21297.25,2128
1734606000,21292.0,21301.5,21177.0,21188.5,1507
1734607800,21191.25,21257.25,21168.25,21255.25,2732
1734609600,21253.75,21271.0,21173.25,21262.75,2686
1734611400,21261.75,21334.0,21243.25,21332.25,1958
1734613200,21329.5,21333.75,21222.0,21233.75,3011
1734615000,21234.25,21237.0,21195.25,21195.25,1951
1734616800,21196.75,21262.75,21168.75,21221.0,1468
1734618600,21223.0,21238.5,21099.5,21110.75,4388
1734620400,21110.25,21127.25,21080.0,21117.5,1145
1734622200,21120.0,21150.25,21118.25,21145.5,415
1734627600,21151.5,21151.5,21120.25,21136.75,128
1734629400,21129.5,21137.25,21096.75,21107.5,79
1734631200,21109.5,21116.0,21022.5,21046.75,198
1734633000,21049.0,21066.25,21000.0,21009.25,177
1734634800,21018.25,21032.25,20995.5,21025.5,120
1734636600,21019.75,21035.25,21009.25,21016.25,97
1734638400,21000.5,21002.25,20958.5,20981.75,123
1734640200,20975.0,20993.5,20969.0,20987.0,71
1734642000,21000.0,21008.0,20989.0,20989.5,47
1734643800,20977.0,20977.0,20939.0,20952.25,58
1734645600,20955.0,20977.0,20955.0,20959.0,24
1734647400,20959.0,20978.5,20959.0,20978.5,45
1734649200,20981.0,20992.5,20974.25,20981.0,27
1734651000,20979.0,20997.0,20975.0,20995.75,34
1734652800,20994.0,21013.5,20973.0,21013.5,51
1734654600,21007.5,21023.25,21007.5,21022.0,52
1734656400,21027.25,21032.75,20994.25,21015.25,151
1734658200,21012.25,21030.5,21001.0,21015.75,77
1734660000,21014.75,21020.5,20949.25,20952.5,99
1734661800,20952.0,20952.0,20886.25,20921.5,110
1734663600,20920.75,20925.75,20864.5,20872.75,163
1734665400,20878.25,20890.75,20844.5,20861.0,94
1734667200,20860.0,20880.75,20838.0,20856.0,98
1734669000,20856.75,20869.0,20838.25,20840.75,106
1734670800,20837.0,20858.0,20825.0,20845.75,77
1734672600,20844.0,20850.0,20812.25,20833.0,204
1734674400,20836.5,20836.5,20745.0,20766.25,266
1734676200,20765.75,20836.75,20752.0,20836.5,303
1734678000,20836.5,20859.0,20808.75,20840.0,218
1734679800,20851.75,20969.75,20840.0,20956.75,1210
1734681600,20950.0,21228.75,20920.0,21211.0,2504
1734683400,21210.5,21309.0,21160.5,21231.5,74670
1734685200,21231.5,21461.25,21231.5,21457.75,70174
1734687000,21458.25,21551.5,21455.75,21512.75,55100
1734688800,21513.75,21675.0,21503.5,21666.5,55358
1734690600,21666.25,21785.5,21662.0,21751.0,55488
1734692400,21751.75,21812.0,21728.0,21811.5,35963
1734694200,21810.75,21812.25,21734.75,21761.25,35006
1734696000,21761.5,21773.0,21669.75,21673.5,35839
1734697800,21674.0,21719.5,21655.25,21667.25,30123
1734699600,21666.25,21719.5,21649.0,21718.0,25688
1734701400,21718.5,21753.25,21689.75,21698.75,26863
1734703200,21699.0,21714.25,21646.25,21651.5,23499
1734705000,21652.0,21662.5,21517.75,21567.5,74651
1734706800,21567.75,21629.0,21519.0,21519.25,27025
1734708600,21519.5,21553.5,21512.5,21552.5,4631
1734886800,21566.0,21683.0,21565.75,21644.25,4925
1734888600,21645.5,21664.25,21640.25,21656.0,1888
1734890400,21657.25,21667.25,21594.25,21603.75,3686
1734892200,21604.0,21638.5,21598.75,21628.0,2409
1734894000,21626.25,21662.0,21609.0,21661.0,2327
1734895800,21660.5,21694.0,21652.0,21685.75,3139
1734897600,21686.25,21696.25,21663.75,21676.75,3537
1734899400,21676.5,21693.0,21653.5,21674.5,2647
1734901200,21674.0,21676.25,21657.0,21661.5,1375
1734903000,21660.5,21685.75,21657.25,21674.5,1422
1734904800,21675.0,21692.75,21673.5,21690.0,1222
1734906600,21689.25,21708.75,21686.75,21706.25,1845
1734908400,21705.75,21724.0,21698.0,21721.25,2042
1734910200,21721.75,21731.25,21717.0,21728.0,1284
1734912000,21727.75,21741.75,21716.0,21733.75,2064
1734913800,21733.5,21738.5,21711.25,21731.25,1877
1734915600,21732.5,21735.75,21686.0,21711.25,3151
1734917400,21711.75,21729.5,21703.0,21711.5,2269
1734919200,21712.5,21720.0,21665.0,21673.0,4300
1734921000,21673.75,21701.5,21661.5,21675.25,4416
1734922800,21675.25,21693.0,21654.0,21664.25,5252
1734924600,21665.0,21690.0,21662.75,21665.5,2523
1734926400,21665.5,21679.75,21635.25,21638.5,2618
1734928200,21638.25,21645.0,21613.0,21624.75,3447
1734930000,21625.0,21629.5,21577.75,21582.25,4154
1734931800,21582.75,21605.5,21573.0,21594.75,4278
1734933600,21594.25,21658.0,21594.25,21654.0,6213
1734935400,21654.0,21671.25,21640.25,21669.5,4104
1734937200,21668.0,21672.5,21642.75,21657.75,5390
1734939000,21658.25,21660.75,21544.25,21572.5,13925
1734940800,21572.5,21623.5,21560.0,21619.5,10207
1734942600,21619.25,21675.5,21553.0,21630.5,62634
1734944400,21633.0,21641.0,21476.75,21541.25,55762
1734946200,21541.75,21595.5,21522.75,21559.75,36962
1734948000,21559.5,21638.25,21554.25,21632.5,26707
1734949800,21632.75,21696.0,21602.5,21693.25,28972
1734951600,21693.25,21726.5,21642.25,21670.75,28088
1734953400,21673.0,21718.5,21660.5,21694.5,16902
1734955200,21695.25,21735.0,21685.25,21720.75,17342
1734957000,21720.25,21756.25,21718.5,21745.5,15412
1734958800,21745.0,21776.75,21741.25,21758.25,12232
1734960600,21758.5,21763.75,21706.25,21707.75,16302
1734962400,21708.0,21714.75,21666.0,21707.5,21210
1734964200,21707.5,21767.5,21706.25,21755.0,35980
1734966000,21755.0,21768.5,21716.0,21735.5,11475
1734967800,21734.25,21743.75,21730.25,21737.25,2178
1734973200,21743.25,21762.0,21736.5,21755.5,1631
1734975000,21756.75,21756.75,21719.75,21737.0,1410
1734976800,21737.75,21739.25,21709.0,21714.75,1839
1734978600,21716.5,21737.5,21715.0,21735.25,1018
1734980400,21736.5,21743.0,21720.25,21742.5,1853
1734982200,21743.0,21747.75,21728.0,21738.75,1488
1734984000,21738.25,21751.0,21730.25,21743.5,1307
1734985800,21743.75,21752.0,21736.75,21751.5,727
1734987600,21751.25,21760.0,21735.75,21739.75,1239
1734989400,21738.5,21748.0,21736.5,21743.5,538
1734991200,21744.25,21745.0,21726.75,21739.75,1069
1734993000,21740.5,21752.5,21739.0,21751.5,698
1734994800,21751.0,21754.75,21742.25,21747.25,929
1734996600,21744.75,21752.0,21741.0,21746.5,625
1734998400,21746.5,21750.25,21738.25,21748.5,699
1735000200,21747.5,21771.0,21747.0,21764.5,1145
1735002000,21764.75,21790.75,21763.75,21786.5,2559
1735003800,21787.0,21798.5,21767.75,21773.5,1934
1735005600,21774.25,21777.5,21738.75,21761.0,2994
1735007400,21761.5,21778.75,21746.5,21763.25,1766
1735009200,21762.75,21800.75,21756.0,21780.75,2739
1735011000,21781.0,21803.25,21774.25,21797.5,1827
1735012800,21798.0,21807.0,21786.0,21792.0,1524
1735014600,21791.25,21800.25,21777.0,21798.25,1543
1735016400,21799.25,21805.0,21777.75,21790.0,1477
1735018200,21790.25,21792.75,21765.25,21785.0,2426
1735020000,21785.75,21803.0,21778.75,21795.0,2250
1735021800,21794.75,21801.0,21786.5,21799.25,1780
1735023600,21798.25,21804.5,21787.5,21802.5,2143
1735025400,21802.25,21827.0,21794.75,21826.25,4551
1735027200,21826.0,21847.5,21809.75,21826.5,7718
1735029000,21826.25,21907.5,21799.25,21904.25,42741
1735030800,21903.25,21941.25,21897.25,21924.25,32600
1735032600,21924.25,21968.5,21921.75,21960.75,30579
1735034400,21960.75,21985.0,21951.0,21976.25,18198
1735036200,21976.25,21994.75,21953.0,21961.75,20219
