,Open,High,Low,Close,Volume
2024-07-25 13:30:00,19221.0,19245.25,19110.0,19128.25,38498
2024-07-25 14:00:00,19127.5,19244.5,19122.75,19215.25,37561
2024-07-25 14:30:00,19215.75,19224.5,18982.0,18991.0,67271
2024-07-25 15:00:00,18991.25,19006.75,18941.0,18980.25,28015
2024-07-25 15:30:00,18979.75,18994.75,18955.5,18994.75,5208
2024-07-25 17:00:00,19003.0,19035.0,18998.75,19007.75,4695
2024-07-25 17:30:00,19008.5,19028.0,19003.25,19005.5,1875
2024-07-25 18:00:00,19005.5,19024.0,18995.0,19019.75,2465
2024-07-25 18:30:00,19019.75,19025.25,19015.75,19023.5,1007
2024-07-25 19:00:00,19022.25,19063.75,19018.75,19046.5,3285
2024-07-25 19:30:00,19046.25,19057.0,19038.25,19047.75,1724
2024-07-25 20:00:00,19047.5,19072.75,19045.75,19063.5,2211
2024-07-25 20:30:00,19063.5,19084.5,19061.25,19081.5,1944
2024-07-25 21:00:00,19080.75,19091.75,19069.0,19089.5,1815
2024-07-25 21:30:00,19089.0,19090.0,19065.5,19068.0,1498
2024-07-25 22:00:00,19067.75,19087.0,19057.25,19084.25,2260
2024-07-25 22:30:00,19084.25,19089.25,19070.25,19073.25,1399
2024-07-25 23:00:00,19073.5,19097.5,19065.25,19095.75,1389
2024-07-25 23:30:00,19096.25,19107.5,19089.25,19104.75,1714
2024-07-26 00:00:00,19104.75,19114.75,19098.0,19114.25,1553
2024-07-26 00:30:00,19114.25,19115.75,19065.0,19066.75,2524
2024-07-26 01:00:00,19066.75,19114.0,19064.5,19078.25,3698
2024-07-26 01:30:00,19077.5,19104.0,19076.25,19088.75,2849
2024-07-26 02:00:00,19087.5,19137.5,19084.75,19118.5,5303
2024-07-26 02:30:00,19118.25,19153.5,19112.5,19147.25,5705
2024-07-26 03:00:00,19146.75,19176.5,19131.75,19168.25,6218
2024-07-26 03:30:00,19167.0,19221.25,19152.25,19220.5,6174
2024-07-26 04:00:00,19219.75,19222.0,19179.75,19183.25,5402
2024-07-26 04:30:00,19184.0,19203.5,19183.0,19192.75,2738
2024-07-26 05:00:00,19193.25,19197.0,19168.25,19177.5,3097
2024-07-26 05:30:00,19177.75,19201.25,19163.5,19168.0,3848
2024-07-26 06:00:00,19168.25,19192.75,19154.5,19191.5,4318
2024-07-26 06:30:00,19192.25,19214.75,19190.25,19213.25,4094
2024-07-26 07:00:00,19212.25,19222.75,19199.5,19209.0,5026
2024-07-26 07:30:00,19208.5,19236.5,19159.5,19177.75,16584
2024-07-26 08:00:00,19178.75,19184.0,19156.0,19163.0,10485
2024-07-26 08:30:00,19163.0,19166.25,19060.5,19129.25,83207
2024-07-26 09:00:00,19130.0,19192.25,19045.25,19137.25,69132
2024-07-26 09:30:00,19137.25,19149.0,19040.25,19128.0,50841
